№,P,#,Инфинитив,3 л. настоящего вр.,3 л. прошедшего однократного вр.,Вопрос,Перевод
3543,,,susikrauti,susikráuna,susikróvė,,"собраться (вещи), навьючиться"
3544,,,sušikti,sušika,sušiko,,"(грубое) обделаться, нагадить"
3545,,,susilaikyti,susilaĩko,susilaĩkė,,"удержаться, воздержаться"
3546,,,susilaukti,susiláukia,susiláukė,,дождаться; родить (о ребенке)
3547,,,susilaužyti,susilaužo,susilaužė,ką?,сломать
3548,,,susilažinti,susilãžina,susilãžino,,"поспорить, заключить пари"
3549,,,sušildyti,sušìldo,sušìldė,,согреть
3550,,,susiliesti,susiliẽčia,susìlietė,,"соприкоснуться, прикоснуться"
3551,,,susilieti,susilíeja,susilíejo,,"слиться, объединиться"
3552,,,susilpninti,susil̃pnina,susil̃pnino,,ослабить
3553,,,sušilti,sušỹla,sušìlo,,согреться
3554,,,susimąstyti,susimą̃sto,susimą̃stė,,задуматься
3555,,,susimauti,susimáuna,susimóvė,,"облажаться (разг.), провалиться"
3556,,,susimilti,susimilsta,susimylė,,"сжалиться, смилостивиться"
3557,,,susimokėti,susimóka,susimokė́jo,,"расплатиться, заплатить (за себя)"
3558,,,susimušti,susìmuša,susìmušė,,"подраться, ушибиться"
3559,,,susinaikinti,susinaikìna,susinaikìno,,самоуничтожиться
3560,,,susinervinti,susinèrvina,susinèrvino,,"понервничать, расстроиться"
3561,,,susipainioti,susipáinioja,susipáiniojo,,запутаться
3562,318,280,susipažìnti,susipažį́sta,susipažìno,su kuo?,познакомиться;ознакомиться
3563,,,susipinti,susìpina,susipýnė,,"запутаться, сплестись"
3564,,,susipykti,susipỹksta,susipỹko,,поссориться
3565,,,susirašinėti,susirašinė́ja,susirašinė́jo,,переписываться
3566,,,susirasti,susirañda,susirãdo,,найти (для себя)
3567,,,susirašyti,susirãšo,susirãšė,,"записаться, расписаться"
3568,,,susiraukšlėti,susiraukšlė́ja,susiraukšlė́jo,,сморщиться
3569,,,susiremti,susìremia,susìrėmė,,"столкнуться, схлестнуться"
3570,,,susirengti,susireñgia,susìrengė,,"собраться (куда-то), приготовиться"
3571,,,susirgti,sùserga,susir̃go,,заболеть
3572,,,susirinkti,susirenka,susirinko,,собраться
3573,,,susiruošti,susiruõšia,susìruošė,,"приготовиться, собраться"
3574,,,susirūpinti,susirū́pina,susirū́pino,,"обеспокоиться, озаботиться"
3575,,,susisiekti,susisíekia,susisíekė,,связаться
3576,,,susisieti,susisíeja,susisíejo,,связаться (друг с другом)
3577,,,susisukti,susìsuka,susisùko,,"свернуться, закрутиться"
3578,,,susitaikyti,susitaiko,susitaikė,su kuo?,помириться
3579,,,susitarti,susìtaria,susìtarė,,договориться
3580,,,susitaupyti,susitaũpo,susitaũpė,,"скопить, накопить (для себя)"
3581,,,susitelkti,susitel̃kia,susìtelkė,,"сосредоточиться, сплотиться"
3582,,,susitepti,susìtepa,susìtepė,,"испачкаться, измазаться"
3583,,,susitikinėti,susitikinė́ja,susitikinė́jo,,встречаться (многократно)
3584,,,susitikiti,susitiñka,susitìko,,встретиться (исправлено с `susitikiti`)
3585,,,susitikrinti,susitikrina,susitikrino,,"свериться, проверить (себя)"
3586,319,281,susitìkti,susitiñka,susitìko,ką? / su kuo?,"встретиться,встречаться"
3587,,,susitraukti,susitráukia,susitráukė,,"сжаться, сократиться"
3588,,,susituokti,susituõkia,susìtuokė,,"пожениться, вступить в брак"
3589,,,susitvarkyti,susitvar̃ko,susitvar̃kė,,"привести в порядок (себя/что-то), убраться"
3590,,,susiūti,sùsiuva,susiùvo,,сшить
3591,,,susivienyti,susiviẽnija,susiviẽnijo,,объединиться
3592,,,susivokti,susivókia,susivókė,,"осознать, опомниться"
3593,,,susižadėti,susižadėja,susižadė́jo,,обручиться
3594,,,susižavėti,susìžavi,susižavė́jo,,"восхититься, очароваться"
3595,,,susižeisti,susižeidžia,susižeidė,ką?,пораниться
3596,,,susižieduoti,susižiedúoja,susižiedãvo,,обручиться (обменяться кольцами)
3597,,,suskaičiuoti,suskaičiúoja,suskaičiãvo,,"сосчитать, подсчитать"
3598,,,suskaldyti,suskáldo,suskáldė,,"расколоть, разбить"
3599,,,suskambėti,sùskamba,suskambė́jo,,"зазвучать, прозвучать"
3600,,,suskilti,suskỹla,suskìlo,,"расколоться, треснуть"
3601,,,suskirstyti,sùskirsto,suskìrstė,,"распределить, разделить"
3602,,,sušlapti,sušlam̃pa,sušlãpo,,промокнуть
3603,,,susmulkinti,susmùlkina,susmùlkino,,измельчить
3604,,,susodinti,susodìna,susodìno,,рассадить
3605,,,sušokti,sušóka,sušóko,,"сплясать, станцевать"
3606,,,suspausti,suspáudžia,suspáudė,,"сжать, сдавить"
3607,,,suspėti,suspė́ja,suspė́jo,,успеть
3608,,,suspindėti,suspiñdi,suspindė́jo,,"засиять, блеснуть"
3609,,,susprogdinti,susprogdìna,susprogdìno,,взорвать
3610,,,susprogti,susprógsta,susprógo,,"взорваться, лопнуть"
3611,,,sustabdyti,sustãbdo,sustãbdė,,остановить
3612,,,sustatyti,sustãto,sustãtė,,"расставить, поставить"
3613,,,šusti,šuñta,šùto,,"потеть, преть"
3614,,,sustingti,sustìngsta,sustìngo,,"застыть, оцепенеть"
3615,,,sustiprėti,sustiprė́ja,sustiprė́jo,,"окрепнуть, усилиться"
3616,,,sustiprinti,sustìprina,sustìprino,,"укрепить, усилить"
3617,,,sustorėti,sustorė́ja,sustorė́jo,,"потолстеть, утолщиться"
3618,,,sustoti,sustója,sustójo,,остановиться
3619,,,susukti,sùsuka,susùko,,скрутить/скручивать; свернуть/свёр­тывать; смотать/сматывать; вскружить/кружить; свить/свивать (гнездо); (suvynioti) завернуть/завёртывать
3620,,,sušukti,sušunka,sušukãvo,,"вскрикнуть/вскрикивать, воскликнуть/восклицать, вскричать;"
3621,,,sušukuoti,sušukúoja,sušukãvo,,причесать
3622,,,sušveisti,sušveĩčia,sùšveitė,,"(грубое) сожрать, проглотить"
3623,,,sušvelninti,sušvel̃nina,sušvel̃nino,,смягчить
3624,,,sutaikinti,sutáikina,sutáikino,,примирить
3625,,,sutaikyti,sutáiko,sutáikė,,примирить
3626,,,sutaisyti,sutaĩso,sutáikė,,"починить, исправить"
3627,,,sutapti,sutam̃pa,sutãpo,,совпасть
3628,,,sutarti,sùtaria,sùtarė,,договориться
3629,,,sutaupyti,sutaũpo,sutaũpė,,сэкономить
3630,,,suteikti,suteĩkia,sùteikė,,"предоставить, оказать (помощь)"
3631,,,sutelkti,sutel̃kia,sùtelkė,,"сосредоточить, сплотить"
3632,,,sutepti,sùtepa,sùtepė,,"смазать, испачкать"
3633,,,sutikrinti,sutìkrina,sutìkrino,,"сверить, сопоставить"
3634,320,282,sutìkti,sutiñka,sutìko,ką? / su kuo?,встретить;согласиться
3635,,,sutilpti,sùtelpa,sutil̃po,,"поместиться, уместиться"
3636,,,sutinti,sutìnsta,sutìno,,опухнуть
3637,,,sutirpdyti,sutir̃pdo,sutir̃pdė,,"растопить, растворить"
3638,,,sutirpti,sutir̃psta,sutir̃po,,"растаять, раствориться"
3639,,,sutraiškyti,sutráiško,sutráiškė,,"раздавить, сокрушить"
3640,,,sutramdyti,sutrámdo,sutrámdė,,"усмирить, укротить"
3641,,,sutraukti,sutráukia,sutráukė,,"стянуть, сократить"
3642,,,sutrenkti,sutreñkia,sùtrenkė,,"ударить, стукнуть"
3643,,,sutrikdyti,sutrìkdo,sutrìkdė,,"нарушить, расстроить"
3644,,,sutrikti,sutrìnka,sutrìko,,"растеряться, смутиться"
3645,,,sutrinti,sùtrina,sutrýnė,,"растереть, измельчить"
3646,,,sutriuškinti,sutriùškina,sutriùškino,,"сокрушить, разгромить"
3647,,,sutrukdyti,sutrùkdo,sutrùkdė,,"помешать, воспрепятствовать"
3648,,,sutrumpėti,sutrumpė́ja,sutrumpė́jo,,"укоротиться, сократиться"
3649,,,sutrumpinti,sutrum̃pina,sutrum̃pino,,"укоротить, сократить"
3650,,,sutrupinti,sutrùpina,sutrùpino,,"раскрошить, измельчить"
3651,,,sutuokti,sutuõkia,sùtuokė,,"поженить, обвенчать"
3652,,,sutvarkyti,sutvar̃ko,sutvar̃kė,,"привести в порядок, уладить"
3653,,,sutverti,sùtveria,sutvė́rė,,"сотворить, создать"
3654,,,sutvirtinti,sutvìrtina,sutvìrtino,,"укрепить, закрепить"
3655,,,suvaidinti,suvaidìna,suvaidìno,,"сыграть (роль), притвориться"
3656,,,suvaldyti,suval̃do,suval̃dė,,"овладеть, справиться (с чем-то), удержать"
3657,,,suvalgyti,suválgo,suválgė,,съесть
3658,,,suvargti,suvar̃gsta,suvar̃go,,"измучиться, устать"
3659,,,suvaryti,suvãro,suvãrė,,"согнать, загнать (вместе)"
3660,,,suvaržyti,suvar̃žo,suvar̃žė,,"связать, стеснить"
3661,,,suvažinėti,suvažinė́ja,suvažinė́jo,,"съездить (многократно), изъездить"
3662,,,suvedžioti,suvedžiója,suvedžiójo,,"совратить, соблазнить"
3663,,,suveikti,suveĩkia,sùveikė,,"сработать, подействовать"
3664,,,suversti,suver̃čia,sùvertė,,"свалить (в кучу), свалить (вину)"
3665,,,suvesti,sùveda,sùvedė,,"свести, подвести (итоги)"
3666,,,suvienodėti,suvienodė́ja,suvienodė́jo,,"унифицироваться, стать одинаковым"
3667,,,suvienodinti,suvienódina,suvienódino,,"унифицировать, уравнять"
3668,,,suvienyti,suviẽnija,suviẽnijo,,объединить
3669,,,suvilioti,suviliója,suviliójo,,"соблазнить, заманить"
3670,,,suvirinti,suvìrina,suvìrino,,сварить (металл)
3671,,,suvirti,suvérda,sùvirė,,свариться (до готовности)
3672,,,suvisuomeninti,suvisuomenina,suvisuomenino,,"обобществить, социализировать"
3673,,,suvokti,suvókia,suvókė,,"осознать, понять"
3674,,,suvynioti,suvyniója,suvyniójo,,"свернуть, обмотать"
3675,,,sužadinti,sužãdina,sužãdino,,"возбудить, разбудить"
3676,,,sužaisti,sužaĩdžia,sùžaidė,,"сыграть (матч, игру)"
3677,,,sužaloti,sužalója,sužalójo,,"изувечить, ранить"
3678,,,sužavėti,sùžavi,sužavė́jo,,"очаровать, восхитить"
3679,,,sužeisti,sužeĩdžia,sùžeidė,,ранить
3680,,,sužibėti,sùžiba,sužibė́jo,,"засиять, блеснуть"
3681,,,sužinoti,sužìno,sužinójo,,узнать
3682,,,sužlugdyti,sužlùgdo,sužlùgdė,,"погубить, сорвать (планы)"
3683,,,sužybsėti,sužýbsi,sužybsė́jo,,"замерцать, вспыхнуть"
3684,,,sužysti,sužýsta,sužýdo,,зацвести
3685,,,svaidyti,sváido,sváidė,,"швырять, метать (многократно)"
3686,,,svaigti,svaĩgsta,svaĩgo,,"кружиться (о голове), пьянеть"
3687,,,švaistyti,švaĩsto,švaĩstė,,"растрачивать, транжирить"
3688,321,283,svajóti,svajója,svajójo,apie ką?,мечтать
3689,,,švarinti,švãrina,švãrino,,"чистить, очищать"
3690,,,svarstyti,svar̃sto,svar̃stė,,"обсуждать, рассматривать"
3691,,,švartuotis,švartúojasi,švartãvosi,,швартоваться
3692,,,svečiuotis,svečiúojasi,svečiãvosi,,гостить
3693,322,284,svéikinti,svéikina,svéikino,ką?,поздравлять
3694,323,285,svéikintis,svéikinasi,svéikinosi,su kuo?,здороваться
3695,324,286,sveĩkti,sveĩksta,sveĩko,,выздоравливать
3696,,,šveisti,šveĩčia,šveĩtė,,"чистить, драить; (грубо) жрать"
3697,,,švelninti,švel̃nina,švel̃nino,,смягчать
3698,,,šventinti,švéntina,švéntino,,освящать
3699,325,287,sver̃ti,svẽria,svė̃rė,ką?,взвешивать; весить
3700,339,301,švę̃sti,šveñčia,šveñtė,ką?,праздновать
3701,,,šviesėti,šviesė́ja,šviesė́jo,,"светлеть, становиться светлее"
3702,,,šviesinti,šviẽsina,šviẽsino,,осветлять
3703,340,302,šviẽsti,šviẽčia,šviẽtė,ką?,светить; просвещать
3704,,,svilinti,svìlina,svìlino,,"опаливать, обжигать"
3705,,,švilpauti,švìlpauja,švìlpavo,,свистеть (многократно)
3706,,,švilptelėti,švilptelėja,švìlptelėjo,,свистнуть (один раз)
3707,,,švilpti,švil̃pia,švil̃pė,,свистеть
3708,,,svilti,svylà,svìlo,,"опаливаться, обжигаться; гореть (о еде)"
3709,,,svirti,svỹra,svìro,,"склоняться, поникать"
3710,,,švisti,šviñta,švìto,,"светать, рассветать"
3711,,,švokšti,švõkščia,švõkštė,,"хрипеть, сипеть"
3712,,,svyruoti,svyrúoja,svyrãvo,,"колебаться, шататься"
3713,,,švytėti,švỹti,švytė́jo,,"сиять, светиться"
3714,,,šykštėti,šykštì,šykštė́jo,,"скупиться, жадничать"
3715,332,294,šypsótis,šỹpsosi,šypsójosi,kam?,улыбаться
3716,,,šyptelėti,šýptelėja,šýptelėjo,,улыбнуться (слегка)
3717,,,sysioti,sysioja,sysiojo,,"писать (детск.), мочиться"
3718,,,taikyti,táiko,táikė,,"применять, прицеливаться"
3719,,,taikytis,táikosi,táikėsi,,"приспосабливаться, мириться"
3720,341,303,taisýti,taĩso,taĩsė,ką?,"ремонтировать, исправлять, чинить"
3721,,,taisytis,taĩsosi,taĩsėsi,,"поправляться, исправляться"
3722,,,talpinti,talpìna,talpìno,,"вмещать, размещать"
3723,,,tampyti,tam̃po,tam̃pė,,"дергать, таскать (многократно)"
3724,,,tampytis,tam̃posi,tam̃pėsi,,"дергаться, таскаться"
3725,,,tamsėti,tamsė́ja,tamsė́jo,,"темнеть, становиться темнее"
3726,,,tamsinti,támsina,támsino,,"затемнять, темнить"
3727,,,tankinti,tánkina,tankino,,"уплотнять, сгущать"
3728,,,tapatinti,tapãtina,tapãtino,,отождествлять
3729,,,tapšnoti,tapšnója,tapšnójo,,"похлопывать, пошлепывать"
3730,343,305,tàpti,tam̃pa,tãpo,kuo?,стать
3731,342,304,tapýti,tãpo,tãpė,ką?,писать (красками)
3732,,,tardyti,tárdo,tárdė,,допрашивать
3733,,,tarkuoti,tarkúoja,tarkãvo,,тереть (на терке)
3734,,,tarnauti,tarnáuja,tarnãvo,,служить
3735,,,tarpininkauti,tarpininkáuja,tarpininkãvo,,посредничать
3736,344,306,tar̃ti,tãria,tãrė,ką?,"произнести, произносить, выговаривать"
3737,,,tartis,tariasi,tarėsi,su kuo? / dėl ko?,договариваться
3738,,,taškyti,tãško,tãškė,,"брызгать, разбрызгивать"
3739,,,taškytis,tãškosi,tãškėsi,,"брызгаться, разбрызгиваться"
3740,,,tašyti,tãšo,tãšė,,"тесать, обтесывать"
3741,,,tatuiruoti,tatuiruoja,tatuirãvo,,татуировать
3742,,,taukšti,taũškia,taũškė,,"стучать, колотить (громко)"
3743,345,307,taupýti,taũpo,taũpė,ką? / kam?,"копить, экономить"
3744,,,tausoti,tausója,tausójo,,"беречь, щадить"
3745,,,tebebūti,tebebū̃na,tebebùvo,,все еще быть
3746,346,308,teĩgti,teĩgia,teĩgė,,утверждать
3747,,,teikti,teĩkia,teĩkė,,"предоставлять, оказывать (услугу)"
3748,,,teiktis,teĩkiasi,teĩkėsi,,"соизволить, удостоить"
3749,347,309,teiráutis,teiráujasi,teirãvosi,ko?,"справляться, узнавать"
3750,,,teisinti,téisina,téisino,,оправдывать
3751,348,310,teĩsti,teĩsia,teĩsė,ką? / už ką?,судить
3752,349,311,tekė́ti,tẽka,tekė́jo,už ko? / į ką? / iš ko?,"течь, литься; выходить замуж; всходить (о солнце)"
3753,,,tekinti,tekinà,tẽkino,,точить (на токарном станке)
3754,,,tekti,teñka,tẽko,,"достаться, выпасть (о доле); приходиться"
3755,,,telkti,tel̃kia,tel̃kė,,"сосредоточивать, сплачивать"
3756,,,telktis,tel̃kiasi,tel̃kėsi,,"сосредоточиваться, сплачиваться"
3757,,,temdyti,témdo,témdė,,"затемнять, омрачать"
3758,,,tempti,tem̃pia,tem̃pė,,"тянуть, тащить"
3759,,,temti,témsta,temo,,темнеть
3760,,,tenkinti,ténkina,ténkino,,удовлетворять
3761,350,312,tèpti,tẽpa,tẽpė,ką? / ko? / ant ko?,"мазать, смазывать; пачкать"
3762,,,teptis,tẽpasi,tẽpėsi,,"мазаться, пачкаться"
3763,,,teršti,ter̃šia,ter̃šė,,"пачкать, загрязнять"
3764,,,tėšti,tešia,tėšė,,"шлепнуть, ударить (с силой)"
3765,,,tęstis,tę̃siasi,tę̃sėsi,,"продолжаться, тянуться"
3766,,,testuoti,testuoja,testavo,,тестировать
3767,,,težti,tę̃žta,tẽžo,,"размякнуть, раскиснуть"
3768,,,tiekti,tiẽkia,tiẽkė,,"поставлять, подавать"
3769,,,tiesti,tiẽsia,tiesė̃,,"стелить, прокладывать"
3770,351,313,tikė́ti,tìki,tikė́jo,kuo? / ką?,верить
3771,352,314,tikė́tis,tìkisi,tikė́josi,ko?,надеяться
3772,,,tikinti,tìkina,tìkino,,"уверять, убеждать"
3773,,,tikrinti,tikrina,tikrino,ką?,проверять
3774,,,tikrintis,tìkrinasi,tìkrinosi,,"проверяться, сверяться"
3775,,,tiksėti,tìksi,tiksė́jo,,тикать
3776,,,tikšti,tỹška,tìško,,"брызгать, плескать"
3777,353,315,tìkti,tiñka,tìko,kas? / kam?,"годиться,подходить"
3778,,,tiktis,tinkasi,tikosi,,случаться
3779,,,tildyti,tìldo,tìldė,,"заставлять замолчать, заглушать"
3780,355,317,til̃pti,tel̃pa,til̃po,į ką?,"поместиться, помещаться"
3781,,,tilti,tilsta,tìlo,,"молчать, умолкать"
3782,,,timptelėti,tìmptelėja,tìmptelėjo,,"дернуть, потянуть (слегка)"
3783,356,318,tingė́ti,tìngi,tingė́jo,,лениться
3784,,,tinginiauti,tinginiáuja,tinginiãvo,,"лениться, бездельничать"
3785,,,tingti,tìngsta,tìngo,,"лениться, не хотеть"
3786,,,tinti,tìnsta,tìno,,опухать
3787,,,tirpdyti,tir̃pdo,tir̃pdė,,"топить, растворять"
3788,357,319,tir̃pti,tir̃psta,tir̃po,,"таять, растаивать; растворяться; неметь"
3789,358,320,tìrti,tìria,týrė,ką?,"расследовать, обследовать"
3790,,,tįsoti,tį́so,tį́sojo,,"торчать, вытягиваться (безвольно)"
3791,,,tįsti,tį̃sta,tį́so,,"вытягиваться, растягиваться"
3792,,,tižti,tỹžta,tìžo,,"размякнуть, раскиснуть"
3793,,,tobulėti,tobulė́ja,tobulė́jo,,совершенствоваться
3794,,,tobulinti,tóbulina,tóbulino,,совершенствовать
3795,,,tolti,tõlsta,tõlo,,удаляться
3796,,,traiškyti,tráiško,tráiškė,,"давить, раздавливать"
3797,,,trakštelėti,trakštelėja,tràkštelėjo,,"треснуть, хрустнуть (один раз)"
3798,,,traktuoti,traktúoja,traktãvo,,трактовать
3799,,,tramdyti,trámdo,trámdė,,"усмирять, сдерживать"
3800,,,trankyti,trañko,trañkė,,"колотить, стучать (многократно)"
3801,,,transliuoti,transliúoja,transliãvo,,транслировать
3802,,,transportuoti,transportúoja,transportãvo,,транспортировать
3803,,,tratėti,trãta,tratė́jo,,"трещать, тарахтеть"
3804,,,traukti,tráukia,tráukė,,"тянуть, тащить; привлекать"
3805,,,trauktis,tráukiasi,tráukėsi,,"отступать, сжиматься"
3806,,,traumuoti,traumúoja,traumãvo,,травмировать
3807,,,tremti,trẽmia,trė̃mė,,"ссылать, изгонять"
3808,,,treniruoti,trenirúoja,trenirãvo,,тренировать
3809,,,treniruotis,trenirúojasi,trenirãvosi,,тренироваться
3810,,,trenkti,treñkia,treñkė,,"ударить, стукнуть"
3811,,,trenktis,treñkiasi,treñkėsi,,"удариться, стукнуться"
3812,,,trepsėti,trèpsi,trepsė́jo,,топать (ногами)
3813,,,tręšti,trę̃šia,trę̃šė,,удобрять
3814,,,triesti,triedžia,triedė,,"(грубое) дристать, поносить"
3815,,,trigubinti,trigubina,trigubino,,утраивать
3816,,,trikdyti,trìkdo,trìkdė,,"нарушать, мешать"
3817,,,trikti,trìnka,trìko,,"смущаться, растеряться"
3818,,,trimituoti,trimitúoja,trimitãvo,,трубить
3819,,,trinti,trina,trynė,ką?,тереть
3820,,,trintis,trìnasi,trýnėsi,,тереться
3821,359,321,triukšmáuti,triukšmáuja,triukšmãvo,,шуметь
3822,,,triumfuoti,triumfúoja,triumfãvo,,"торжествовать, триумфовать"
3823,,,trokšti,trókšta,tróško,,"жаждать, страстно желать"
3824,,,troškinti,troškìna,troškìno,,тушить (еду)
3825,360,322,trukdýti,trùkdo,trùkdė,kam?,"мешать, беспокоить"
3826,361,323,trùkti,truñka,trùko,,длиться; продолжаться
3827,362,324,trū́kti,trū́ksta,trū́ko,ko? / kam?,"рваться; недоставать, не хватать"
3828,,,trumpėti,trumpė́ja,trumpė́jo,,"укорачиваться, сокращаться"
3829,,,trumpinti,trum̃pina,trum̃pino,,"укорачивать, сокращать"
3830,,,trupėti,trùpa,trupė́jo,,"крошиться, рассыпаться"
3831,,,trupinti,trùpina,trùpino,,"крошить, измельчать"
3832,,,trykšti,trýkšta,trýško,,"бить ключом, фонтанировать"
3833,,,tujinti,tùjina,tùjino,,тыкать
3834,,,tukti,tuñka,tùko,,толстеть
3835,,,tūnoti,tū́no,tū́nojo,,"сидеть (в укрытии), прятаться"
3836,,,tuokti,tuõkia,tuõkė,,"женить, выдавать замуж"
3837,363,325,tuõktis,tuõkiasi,tuõkėsi,su kuo?,"вступать в брак, бракосочетаться, венчаться"
3838,364,326,tupė́ti,tùpi,tupė́jo,,сидеть (о птицах); сидеть на корточках (о человеке)
3839,,,tūpti,tùpia,tū̃pė,,"приседать, садиться (о птице)"
3840,,,tūptis,tùpiasi,tū̃pėsi,,"приседать, садиться (о птице)"
3841,365,327,turė́ti,tùri,turė́jo,ką? / ko?,иметь; быть должным
3842,,,tursenti,tursẽna,tursẽno,,"медленно идти (согнувшись, отставив зад)"
3843,,,tuštėti,tuštė́ja,tuštė́jo,,пустеть
3844,,,tuštinti,tùština,tùštino,,опустошать
3845,,,tuštintis,tùštinasi,tùštinosi,,"опорожняться, испражняться"
3846,,,tūžti,tū́žta,tū́žo,,"прийти в ярость, рассвирепеть"
3847,,,tvaikti,tvaiksta,tvaĩko,,"вонять, издавать зловоние"
3848,,,tvardyti,tvárdo,tvárdė,,"сдерживать, обуздывать"
3849,366,328,tvarkýti,tvar̃ko,tvarkė,ką?,убирать; управлять
3850,,,tvarkytis,tvar̃kosi,tvar̃kėsi,,"приводить себя в порядок, убираться"
3851,,,tvarstyti,tvársto,tvárstė,,"перевязывать, бинтовать"
3852,,,tvenkti,tveñkia,tveñkė,,"запрудить, перегородить (воду)"
3853,,,tverti,tvẽria,tvėrė̃,,"огораживать, строить (забор); хватать, ловить"
3854,,,tvertis,tvẽriasi,tvė́rėsi,,"хвататься, цепляться"
3855,,,tvinti,tvìnsta,tvìno,,"разливаться, выходить из берегов"
3856,,,tvirtėti,tvirtė́ja,tvirtė́jo,,"крепнуть, усиливаться"
3857,,,tvirtinti,tvìrtina,tvìrtino,,"укреплять, утверждать"
3858,,,tvirtintis,tvìrtinasi,tvìrtinosi,,"укрепляться, утверждаться"
3859,,,tvykstelėti,tvykstelėja,tvýkstelėjo,,"вспыхнуть, сверкнуть (один раз)"
3860,,,tvyroti,tvýro,tvýrojo,,"витать, царить (о запахе, атмосфере)"
3861,,,tyčiotis,týčiojasi,týčiojosi,,"издеваться, насмехаться"
3862,,,tykoti,týko,týkojo,,"подстерегать, выжидать"
3863,354,316,tylė́ti,tỹli,tylė́jo,,молчать
3864,,,tyrinėti,tyrinė́ja,tyrinė́jo,,исследовать
3865,,,tysoti,týso,týsojo,,"торчать, вытягиваться (безвольно)"
3866,,,ugdyti,ùgdo,ùgdė,,"развивать, воспитывать"
3867,367,329,ūkininkáuti,ūkininkáuja,ūkininkãvo,,"хозяйствовать, заниматься хозяйством"
3868,,,ūkti,ū̃kia,ū̃kė,,"ухать (о сове), гудеть"
3869,368,330,uogáuti,uogáuja,uogãvo,,собирать ягоды
3870,,,uosti,úodžia,úodė,,нюхать
3871,,,uostyti,úosto,úostė,,нюхать (многократно)
3872,,,urgzti,ur̃zgia,ur̃zgė,,"рычать, ворчать"
3873,,,utilizuoti,utilizúoja,utilizavo,,утилизировать
3874,,,užakti,užañka,užãko,,"зарасти (о глазах, отверстии)"
3875,,,užantspauduoti,užantspaudúoja,užantspaudãvo,,"запечатать, проштамповать"
3876,,,užauginti,užaugìna,užaugìno,,вырастить
3877,,,užaugti,užáuga,užáugo,,вырасти
3878,,,užbaigti,užbaĩgia,ùžbaigė,,"закончить, завершить"
3879,,,užbaltinti,užbaltina,užbáltino,,забелить
3880,,,užberti,ùžberia,ùžbėrė,,"засыпать, забросать"
3881,,,užblokuoti,užblokúoja,užblokãvo,,заблокировать
3882,,,užburti,ùžburia,užbū́rė,,"заколдовать, очаровать"
3883,,,užčiaupti,užčiáupia,užčiáupė,,"заткнуть (рот), заставить замолчать"
3884,,,užčiuopti,užčiáupia,užčiáupė,,"нащупать, ухватить"
3885,,,uždainuoti,uždainúoja,uždainãvo,,запеть
3886,369,331,uždaryti,uždaro,uždarė,ką?,закрыть
3887,,,uždavinėti,uždavinė́ja,uždavinė́jo,,задавать (многократно)
3888,,,uždegti,ùždega,ùždegė,,зажечь
3889,,,uždengti,uždeñgia,ùždengė,,"закрыть, накрыть"
3890,,,užderėti,ùždera,užderė́jo,,уродиться (о урожае)
3891,,,uždėti,ùždeda,uždė́jo,,"надеть, положить (сверху)"
3892,,,uždirbti,uždìrba,uždìrbo,,заработать
3893,,,uždrausti,uždraũdžia,ùždraudė,,запретить
3894,,,užduoti,uždúoda,ùždavė,,задать
3895,,,uždusinti,uždùsina,uždùsino,,задушить
3896,,,uždusti,uždū̃sta,uždùso,,задохнуться
3897,,,užeiti,užeĩna,užė̃jo,,"зайти, навестить"
3898,,,užfiksuoti,užfiksúoja,užfiksãvo,,зафиксировать
3899,,,užgaudinėti,užgaudinėja,užgaudinėjo,,"дразнить, задевать (многократно)"
3900,,,užgaulioti,užgauliója,užgauliójo,,"оскорблять, обижать (многократно)"
3901,,,užgauti,užgáuna,užgãvo,,"задеть, обидеть"
3902,,,užgerti,ùžgeria,užgė́rė,,запить (лекарство); залить (алкоголем)
3903,,,užgesinti,užgesìna,užgesìno,,"потушить, погасить"
3904,,,užgesti,užgę̃sta,gẽso,,"погаснуть, заглохнуть"
3905,,,užginčyti,užgiñčija,užgiñčijo,,"оспорить, опровергнуть"
3906,,,užgniaužti,užgniáužia,užgniáužė,,"задушить, подавить"
3907,,,užgriūti,užgriū̃va,užgriùvo,,"завалить, обрушиться"
3908,,,užgrobti,užgróbia,užgróbė,,захватить
3909,,,užgrūdinti,užgrū́dina,užgrū́dino,,закалить
3910,,,užgyti,užgija,užgìjo,,зажить
3911,,,užhipnotizuoti,užhipnotizúoja,užhipnotizãvo,,загипнотизировать
3912,,,užimti,ùžima,ùžėmė,,занять
3913,,,užjausti,užjaũčia,ùžjautė,,посочувствовать
3914,,,užkabliuoti,užkabliuoja,užkabliavo,,зацепить крючком
3915,,,užkalbinti,užkálbina,užkálbino,,заговорить (с кем-то)
3916,,,užkalti,ùžkala,ùžkalė,,"забить, заколотить"
3917,,,užkariauti,užkariáuja,užkariãvo,,завоевать
3918,,,užkasti,ùžkasa,užkãsė,,закопать
3919,,,užkepti,užkepa,užkepė,,запечь
3920,,,užkimšti,ùžkemša,užkìmšo,,"заткнуть, забить"
3921,,,užkimti,užkìmsta,užkìmo,,"охрипнуть, осипнуть"
3922,,,užkirsti,ùžkerta,užkir̃to,,"преградить, перекрыть"
3923,,,užkliūti,užkliū̃va,užkliùvo,,"зацепиться, застрять"
3924,,,užkloti,užklója,užklójo,,"накрыть, укрыть"
3925,,,užklupti,užklum̃pa,užklùpo,,"застать врасплох, настигнуть"
